Flight Number,Orig,Dest,A/C,Weekday_Z,DD_Z,Net Payload,Net Volume,Weekday_num,deptime,arrtime,key,key+
QY80,ACC,BRU,ABY,Sat,1.0,46000,386,5,2024-09-14 18:50:00,2024-09-15 01:50:00,ACC/BRU/2024-09-14 18:50:00,ACC/BRU/2024-09-14 18:50:00/QY80
3V400,ALA,LGG,74Y,Mon,1.0,87050,725,0,2024-09-09 20:40:00,2024-09-10 04:30:00,ALA/LGG/2024-09-09 20:40:00,ALA/LGG/2024-09-09 20:40:00/3V400
D075,ALA,LEJ,76V,Mon,,47650,442,0,2024-09-09 04:50:00,2024-09-09 12:50:00,ALA/LEJ/2024-09-09 04:50:00,ALA/LEJ/2024-09-09 04:50:00/D075
QY547,ALA,CGN,33X,Tue,,51200,427,1,2024-09-10 06:15:00,2024-09-10 14:20:00,ALA/CGN/2024-09-10 06:15:00,ALA/CGN/2024-09-10 06:15:00/QY547
3V517,ALA,LEJ,74Y,Tue,,87050,725,1,2024-09-10 11:55:00,2024-09-10 19:55:00,ALA/LEJ/2024-09-10 11:55:00,ALA/LEJ/2024-09-10 11:55:00/3V517
D077,ALA,LEJ,76V,Tue,,47650,442,1,2024-09-10 04:50:00,2024-09-10 12:50:00,ALA/LEJ/2024-09-10 04:50:00,ALA/LEJ/2024-09-10 04:50:00/D077
QY549,ALA,CGN,33X,Wed,,51200,427,2,2024-09-11 06:15:00,2024-09-11 14:20:00,ALA/CGN/2024-09-11 06:15:00,ALA/CGN/2024-09-11 06:15:00/QY549
3V400,ALA,LGG,74Y,Wed,,87050,725,2,2024-09-11 12:15:00,2024-09-11 20:05:00,ALA/LGG/2024-09-11 12:15:00,ALA/LGG/2024-09-11 12:15:00/3V400
D071,ALA,LEJ,76V,Wed,,47650,442,2,2024-09-11 04:50:00,2024-09-11 12:50:00,ALA/LEJ/2024-09-11 04:50:00,ALA/LEJ/2024-09-11 04:50:00/D071
QY547,ALA,CGN,33X,Thu,,51200,427,3,2024-09-12 06:15:00,2024-09-12 14:20:00,ALA/CGN/2024-09-12 06:15:00,ALA/CGN/2024-09-12 06:15:00/QY547
3V517,ALA,LEJ,74Y,Thu,,87050,725,3,2024-09-12 06:50:00,2024-09-12 14:50:00,ALA/LEJ/2024-09-12 06:50:00,ALA/LEJ/2024-09-12 06:50:00/3V517
D073,ALA,LEJ,76V,Thu,,47650,442,3,2024-09-12 04:50:00,2024-09-12 12:50:00,ALA/LEJ/2024-09-12 04:50:00,ALA/LEJ/2024-09-12 04:50:00/D073
QY549,ALA,CGN,33X,Fri,,51200,427,4,2024-09-13 06:15:00,2024-09-13 14:20:00,ALA/CGN/2024-09-13 06:15:00,ALA/CGN/2024-09-13 06:15:00/QY549
3V400,ALA,LGG,74Y,Fri,,87050,725,4,2024-09-13 12:15:00,2024-09-13 20:05:00,ALA/LGG/2024-09-13 12:15:00,ALA/LGG/2024-09-13 12:15:00/3V400
D071,ALA,LEJ,76V,Fri,,47650,442,4,2024-09-13 04:50:00,2024-09-13 12:50:00,ALA/LEJ/2024-09-13 04:50:00,ALA/LEJ/2024-09-13 04:50:00/D071
QY547,ALA,FRA,33X,Sat,,51200,427,5,2024-09-14 06:15:00,2024-09-14 14:15:00,ALA/FRA/2024-09-14 06:15:00,ALA/FRA/2024-09-14 06:15:00/QY547
3V517,ALA,BRU,74Y,Sat,,87050,725,5,2024-09-14 07:00:00,2024-09-14 14:50:00,ALA/BRU/2024-09-14 07:00:00,ALA/BRU/2024-09-14 07:00:00/3V517
D073,ALA,LEJ,76V,Sat,,47650,442,5,2024-09-14 04:50:00,2024-09-14 12:50:00,ALA/LEJ/2024-09-14 04:50:00,ALA/LEJ/2024-09-14 04:50:00/D073
QY549,ALA,LEJ,33X,Sun,,51200,427,6,2024-09-15 06:15:00,2024-09-15 14:10:00,ALA/LEJ/2024-09-15 06:15:00,ALA/LEJ/2024-09-15 06:15:00/QY549
3V400,ALA,LGG,74Y,Sun,,87050,725,6,2024-09-15 12:15:00,2024-09-15 20:05:00,ALA/LGG/2024-09-15 12:15:00,ALA/LGG/2024-09-15 12:15:00/3V400
3V517,ALA,LEJ,74Y,Sun,1.0,87050,725,6,2024-09-15 20:25:00,2024-09-16 05:40:00,ALA/LEJ/2024-09-15 20:25:00,ALA/LEJ/2024-09-15 20:25:00/3V517
D077,ALA,LEJ,76V,Sun,,47650,442,6,2024-09-15 04:50:00,2024-09-15 12:50:00,ALA/LEJ/2024-09-15 04:50:00,ALA/LEJ/2024-09-15 04:50:00/D077
ES188,AMM,CAI,76V,Tue,,47650,442,1,2024-09-10 17:20:00,2024-09-10 19:00:00,AMM/CAI/2024-09-10 17:20:00,AMM/CAI/2024-09-10 17:20:00/ES188
ES188,AMM,CAI,76V,Fri,,47650,442,4,2024-09-13 17:20:00,2024-09-13 19:00:00,AMM/CAI/2024-09-13 17:20:00,AMM/CAI/2024-09-13 17:20:00/ES188
QY1491,AMS,LEJ,33X,Mon,,51200,427,0,2024-09-09 20:35:00,2024-09-09 21:55:00,AMS/LEJ/2024-09-09 20:35:00,AMS/LEJ/2024-09-09 20:35:00/QY1491
QY1239,AMS,LEJ,ABY,Mon,,46000,386,0,2024-09-09 22:10:00,2024-09-09 23:30:00,AMS/LEJ/2024-09-09 22:10:00,AMS/LEJ/2024-09-09 22:10:00/QY1239
QY1239,AMS,LEJ,ABY,Tue,,46000,386,1,2024-09-10 22:10:00,2024-09-10 23:30:00,AMS/LEJ/2024-09-10 22:10:00,AMS/LEJ/2024-09-10 22:10:00/QY1239
QY1491,AMS,LEJ,ABY,Tue,,46000,386,1,2024-09-10 20:35:00,2024-09-10 21:55:00,AMS/LEJ/2024-09-10 20:35:00,AMS/LEJ/2024-09-10 20:35:00/QY1491
QY1239,AMS,LEJ,ABY,Wed,,46000,386,2,2024-09-11 22:10:00,2024-09-11 23:30:00,AMS/LEJ/2024-09-11 22:10:00,AMS/LEJ/2024-09-11 22:10:00/QY1239
QY6700,AMS,LTN,ABY,Wed,,46000,386,2,2024-09-11 13:00:00,2024-09-11 14:20:00,AMS/LTN/2024-09-11 13:00:00,AMS/LTN/2024-09-11 13:00:00/QY6700
QY1491,AMS,LEJ,ABY,Wed,,46000,386,2,2024-09-11 20:35:00,2024-09-11 21:55:00,AMS/LEJ/2024-09-11 20:35:00,AMS/LEJ/2024-09-11 20:35:00/QY1491
QY1491,AMS,LEJ,76Y,Thu,,47650,442,3,2024-09-12 20:35:00,2024-09-12 21:55:00,AMS/LEJ/2024-09-12 20:35:00,AMS/LEJ/2024-09-12 20:35:00/QY1491
QY1239,AMS,LEJ,ABY,Thu,,46000,386,3,2024-09-12 22:10:00,2024-09-12 23:30:00,AMS/LEJ/2024-09-12 22:10:00,AMS/LEJ/2024-09-12 22:10:00/QY1239
QY6725,AMS,MAD,ABY,Thu,,46000,386,3,2024-09-12 16:10:00,2024-09-12 18:50:00,AMS/MAD/2024-09-12 16:10:00,AMS/MAD/2024-09-12 16:10:00/QY6725
QY1239,AMS,LEJ,ABY,Fri,,46000,386,4,2024-09-13 22:10:00,2024-09-13 23:30:00,AMS/LEJ/2024-09-13 22:10:00,AMS/LEJ/2024-09-13 22:10:00/QY1239
QY6731,AMS,LHR,ABY,Sat,,46000,386,5,2024-09-14 15:50:00,2024-09-14 17:00:00,AMS/LHR/2024-09-14 15:50:00,AMS/LHR/2024-09-14 15:50:00/QY6731
QY6725,AMS,MAD,ABY,Sat,,46000,386,5,2024-09-14 11:30:00,2024-09-14 14:10:00,AMS/MAD/2024-09-14 11:30:00,AMS/MAD/2024-09-14 11:30:00/QY6725
QY1239,AMS,LEJ,ABY,Sun,,46000,386,6,2024-09-15 11:00:00,2024-09-15 12:20:00,AMS/LEJ/2024-09-15 11:00:00,AMS/LEJ/2024-09-15 11:00:00/QY1239
K4617,ANC,CVG,74Y,Mon,,87050,725,0,2024-09-09 12:35:00,2024-09-09 18:50:00,ANC/CVG/2024-09-09 12:35:00,ANC/CVG/2024-09-09 12:35:00/K4617
K4677,ANC,CVG,74Y,Mon,,87050,725,0,2024-09-09 15:30:00,2024-09-09 21:45:00,ANC/CVG/2024-09-09 15:30:00,ANC/CVG/2024-09-09 15:30:00/K4677
K4816,ANC,CGO,74Y,Mon,,87050,725,0,2024-09-09 10:15:00,2024-09-09 20:30:00,ANC/CGO/2024-09-09 10:15:00,ANC/CGO/2024-09-09 10:15:00/K4816
K4674,ANC,HKG,74Y,Mon,,87050,725,0,2024-09-09 09:30:00,2024-09-09 21:00:00,ANC/HKG/2024-09-09 09:30:00,ANC/HKG/2024-09-09 09:30:00/K4674
K4628,ANC,HKG,74Y,Mon,,87050,725,0,2024-09-09 08:45:00,2024-09-09 20:00:00,ANC/HKG/2024-09-09 08:45:00,ANC/HKG/2024-09-09 08:45:00/K4628
3S508,ANC,CVG,77X,Mon,,77350,645,0,2024-09-09 11:45:00,2024-09-09 17:55:00,ANC/CVG/2024-09-09 11:45:00,ANC/CVG/2024-09-09 11:45:00/3S508
3S589,ANC,CVG,77X,Mon,,77350,645,0,2024-09-09 07:40:00,2024-09-09 13:50:00,ANC/CVG/2024-09-09 07:40:00,ANC/CVG/2024-09-09 07:40:00/3S589
K4223,ANC,JFK,77X,Mon,,77350,645,0,2024-09-09 09:50:00,2024-09-09 16:45:00,ANC/JFK/2024-09-09 09:50:00,ANC/JFK/2024-09-09 09:50:00/K4223
PO956,ANC,NRT,77X,Mon,,77350,645,0,2024-09-09 14:20:00,2024-09-09 22:10:00,ANC/NRT/2024-09-09 14:20:00,ANC/NRT/2024-09-09 14:20:00/PO956
PO998,ANC,CVG,77X,Mon,1.0,77350,645,0,2024-09-09 23:00:00,2024-09-10 05:15:00,ANC/CVG/2024-09-09 23:00:00,ANC/CVG/2024-09-09 23:00:00/PO998
K4613,ANC,JFK,74Y,Tue,,87050,725,1,2024-09-10 12:10:00,2024-09-10 19:05:00,ANC/JFK/2024-09-10 12:10:00,ANC/JFK/2024-09-10 12:10:00/K4613
K4625,ANC,MIA,74Y,Tue,1.0,87050,725,1,2024-09-10 19:10:00,2024-09-11 03:00:00,ANC/MIA/2024-09-10 19:10:00,ANC/MIA/2024-09-10 19:10:00/K4625
K4626,ANC,HKG,74Y,Tue,1.0,87050,725,1,2024-09-10 14:25:00,2024-09-11 01:40:00,ANC/HKG/2024-09-10 14:25:00,ANC/HKG/2024-09-10 14:25:00/K4626
K4695,ANC,YHM,74Y,Tue,,87050,725,1,2024-09-10 10:20:00,2024-09-10 16:35:00,ANC/YHM/2024-09-10 10:20:00,ANC/YHM/2024-09-10 10:20:00/K4695
K4675,ANC,ATL,74Y,Tue,,87050,725,1,2024-09-10 10:15:00,2024-09-10 17:05:00,ANC/ATL/2024-09-10 10:15:00,ANC/ATL/2024-09-10 10:15:00/K4675
K4815,ANC,DFW,74Y,Tue,,87050,725,1,2024-09-10 10:10:00,2024-09-10 16:10:00,ANC/DFW/2024-09-10 10:10:00,ANC/DFW/2024-09-10 10:10:00/K4815
K4676,ANC,HKG,74Y,Tue,,87050,725,1,2024-09-10 09:30:00,2024-09-10 21:00:00,ANC/HKG/2024-09-10 09:30:00,ANC/HKG/2024-09-10 09:30:00/K4676
3S587,ANC,JFK,77X,Tue,,77350,645,1,2024-09-10 09:05:00,2024-09-10 15:55:00,ANC/JFK/2024-09-10 09:05:00,ANC/JFK/2024-09-10 09:05:00/3S587
PO977,ANC,ICN,77X,Tue,1.0,77350,645,1,2024-09-10 17:55:00,2024-09-11 03:55:00,ANC/ICN/2024-09-10 17:55:00,ANC/ICN/2024-09-10 17:55:00/PO977
PO998,ANC,CVG,77X,Tue,1.0,77350,645,1,2024-09-10 23:00:00,2024-09-11 05:15:00,ANC/CVG/2024-09-10 23:00:00,ANC/CVG/2024-09-10 23:00:00/PO998
3S529,ANC,CVG,77X,Tue,,77350,645,1,2024-09-10 08:00:00,2024-09-10 14:10:00,ANC/CVG/2024-09-10 08:00:00,ANC/CVG/2024-09-10 08:00:00/3S529
K4617,ANC,JFK,74Y,Wed,,87050,725,2,2024-09-11 12:10:00,2024-09-11 19:05:00,ANC/JFK/2024-09-11 12:10:00,ANC/JFK/2024-09-11 12:10:00/K4617
K4624,ANC,HKG,74Y,Wed,1.0,87050,725,2,2024-09-11 15:45:00,2024-09-12 03:00:00,ANC/HKG/2024-09-11 15:45:00,ANC/HKG/2024-09-11 15:45:00/K4624
K4627,ANC,MIA,74Y,Wed,1.0,87050,725,2,2024-09-11 19:10:00,2024-09-12 03:00:00,ANC/MIA/2024-09-11 19:10:00,ANC/MIA/2024-09-11 19:10:00/K4627
K4677,ANC,ATL,74Y,Wed,,87050,725,2,2024-09-11 10:15:00,2024-09-11 17:05:00,ANC/ATL/2024-09-11 10:15:00,ANC/ATL/2024-09-11 10:15:00/K4677
K4812,ANC,CGO,74Y,Wed,,87050,725,2,2024-09-11 10:15:00,2024-09-11 20:30:00,ANC/CGO/2024-09-11 10:15:00,ANC/CGO/2024-09-11 10:15:00/K4812
3S587,ANC,JFK,77X,Wed,,77350,645,2,2024-09-11 09:05:00,2024-09-11 15:55:00,ANC/JFK/2024-09-11 09:05:00,ANC/JFK/2024-09-11 09:05:00/3S587
K4295,ANC,YHM,77X,Wed,,77350,645,2,2024-09-11 10:20:00,2024-09-11 16:35:00,ANC/YHM/2024-09-11 10:20:00,ANC/YHM/2024-09-11 10:20:00/K4295
PO947,ANC,ICN,77X,Wed,1.0,77350,645,2,2024-09-11 17:55:00,2024-09-12 03:55:00,ANC/ICN/2024-09-11 17:55:00,ANC/ICN/2024-09-11 17:55:00/PO947
PO998,ANC,CVG,77X,Wed,1.0,77350,645,2,2024-09-11 23:00:00,2024-09-12 05:15:00,ANC/CVG/2024-09-11 23:00:00,ANC/CVG/2024-09-11 23:00:00/PO998
3S529,ANC,CVG,77X,Wed,,77350,645,2,2024-09-11 08:00:00,2024-09-11 14:10:00,ANC/CVG/2024-09-11 08:00:00,ANC/CVG/2024-09-11 08:00:00/3S529
K4613,ANC,JFK,74Y,Thu,,87050,725,3,2024-09-12 12:10:00,2024-09-12 19:05:00,ANC/JFK/2024-09-12 12:10:00,ANC/JFK/2024-09-12 12:10:00/K4613
K4625,ANC,MIA,74Y,Thu,1.0,87050,725,3,2024-09-12 19:10:00,2024-09-13 03:00:00,ANC/MIA/2024-09-12 19:10:00,ANC/MIA/2024-09-12 19:10:00/K4625
K4695,ANC,YHM,74Y,Thu,,87050,725,3,2024-09-12 10:20:00,2024-09-12 16:35:00,ANC/YHM/2024-09-12 10:20:00,ANC/YHM/2024-09-12 10:20:00/K4695
K4626,ANC,HKG,74Y,Thu,1.0,87050,725,3,2024-09-12 17:45:00,2024-09-13 05:00:00,ANC/HKG/2024-09-12 17:45:00,ANC/HKG/2024-09-12 17:45:00/K4626
K4675,ANC,ATL,74Y,Thu,,87050,725,3,2024-09-12 10:15:00,2024-09-12 17:05:00,ANC/ATL/2024-09-12 10:15:00,ANC/ATL/2024-09-12 10:15:00/K4675
K4811,ANC,DFW,74Y,Thu,,87050,725,3,2024-09-12 10:10:00,2024-09-12 16:10:00,ANC/DFW/2024-09-12 10:10:00,ANC/DFW/2024-09-12 10:10:00/K4811
K4676,ANC,HKG,74Y,Thu,,87050,725,3,2024-09-12 09:30:00,2024-09-12 21:00:00,ANC/HKG/2024-09-12 09:30:00,ANC/HKG/2024-09-12 09:30:00/K4676
3S587,ANC,JFK,77X,Thu,,77350,645,3,2024-09-12 09:05:00,2024-09-12 15:55:00,ANC/JFK/2024-09-12 09:05:00,ANC/JFK/2024-09-12 09:05:00/3S587
PO947,ANC,ICN,77X,Thu,1.0,77350,645,3,2024-09-12 17:55:00,2024-09-13 03:55:00,ANC/ICN/2024-09-12 17:55:00,ANC/ICN/2024-09-12 17:55:00/PO947
PO998,ANC,CVG,77X,Thu,1.0,77350,645,3,2024-09-12 23:00:00,2024-09-13 05:15:00,ANC/CVG/2024-09-12 23:00:00,ANC/CVG/2024-09-12 23:00:00/PO998
3S529,ANC,CVG,77X,Thu,,77350,645,3,2024-09-12 08:00:00,2024-09-12 14:10:00,ANC/CVG/2024-09-12 08:00:00,ANC/CVG/2024-09-12 08:00:00/3S529
K4617,ANC,JFK,74Y,Fri,,87050,725,4,2024-09-13 12:10:00,2024-09-13 19:05:00,ANC/JFK/2024-09-13 12:10:00,ANC/JFK/2024-09-13 12:10:00/K4617
K4624,ANC,HKG,74Y,Fri,1.0,87050,725,4,2024-09-13 16:45:00,2024-09-14 04:00:00,ANC/HKG/2024-09-13 16:45:00,ANC/HKG/2024-09-13 16:45:00/K4624
K4627,ANC,MIA,74Y,Fri,1.0,87050,725,4,2024-09-13 18:05:00,2024-09-14 01:55:00,ANC/MIA/2024-09-13 18:05:00,ANC/MIA/2024-09-13 18:05:00/K4627
K4677,ANC,ATL,74Y,Fri,,87050,725,4,2024-09-13 10:15:00,2024-09-13 17:05:00,ANC/ATL/2024-09-13 10:15:00,ANC/ATL/2024-09-13 10:15:00/K4677
K4674,ANC,HKG,74Y,Fri,,87050,725,4,2024-09-13 09:30:00,2024-09-13 21:00:00,ANC/HKG/2024-09-13 09:30:00,ANC/HKG/2024-09-13 09:30:00/K4674
3S587,ANC,JFK,77X,Fri,,77350,645,4,2024-09-13 09:05:00,2024-09-13 15:55:00,ANC/JFK/2024-09-13 09:05:00,ANC/JFK/2024-09-13 09:05:00/3S587
K4224,ANC,HKG,77X,Fri,1.0,77350,645,4,2024-09-13 16:30:00,2024-09-14 04:00:00,ANC/HKG/2024-09-13 16:30:00,ANC/HKG/2024-09-13 16:30:00/K4224
K4295,ANC,YHM,77X,Fri,,77350,645,4,2024-09-13 10:20:00,2024-09-13 16:35:00,ANC/YHM/2024-09-13 10:20:00,ANC/YHM/2024-09-13 10:20:00/K4295
PO991,ANC,NRT,77X,Fri,1.0,77350,645,4,2024-09-13 17:55:00,2024-09-14 01:45:00,ANC/NRT/2024-09-13 17:55:00,ANC/NRT/2024-09-13 17:55:00/PO991
3S529,ANC,CVG,77X,Fri,,77350,645,4,2024-09-13 08:00:00,2024-09-13 14:10:00,ANC/CVG/2024-09-13 08:00:00,ANC/CVG/2024-09-13 08:00:00/3S529
PO298,ANC,LAX,74N,Sat,,102300,853,5,2024-09-14 14:50:00,2024-09-14 20:10:00,ANC/LAX/2024-09-14 14:50:00,ANC/LAX/2024-09-14 14:50:00/PO298
K4613,ANC,LAX,74Y,Sat,1.0,87050,725,5,2024-09-14 23:05:00,2024-09-15 04:25:00,ANC/LAX/2024-09-14 23:05:00,ANC/LAX/2024-09-14 23:05:00/K4613
K4615,ANC,JFK,74Y,Sat,,87050,725,5,2024-09-14 12:10:00,2024-09-14 19:05:00,ANC/JFK/2024-09-14 12:10:00,ANC/JFK/2024-09-14 12:10:00/K4615
K4625,ANC,MIA,74Y,Sat,1.0,87050,725,5,2024-09-14 18:05:00,2024-09-15 01:55:00,ANC/MIA/2024-09-14 18:05:00,ANC/MIA/2024-09-14 18:05:00/K4625
K4626,ANC,HKG,74Y,Sat,1.0,87050,725,5,2024-09-14 14:40:00,2024-09-15 01:55:00,ANC/HKG/2024-09-14 14:40:00,ANC/HKG/2024-09-14 14:40:00/K4626
K4675,ANC,ATL,74Y,Sat,,87050,725,5,2024-09-14 10:15:00,2024-09-14 17:05:00,ANC/ATL/2024-09-14 10:15:00,ANC/ATL/2024-09-14 10:15:00/K4675
K4814,ANC,CGO,74Y,Sat,,87050,725,5,2024-09-14 10:15:00,2024-09-14 20:30:00,ANC/CGO/2024-09-14 10:15:00,ANC/CGO/2024-09-14 10:15:00/K4814
3S529,ANC,CVG,77X,Sat,,77350,645,5,2024-09-14 08:00:00,2024-09-14 14:10:00,ANC/CVG/2024-09-14 08:00:00,ANC/CVG/2024-09-14 08:00:00/3S529
K4297,ANC,YHM,77X,Sat,,77350,645,5,2024-09-14 10:20:00,2024-09-14 16:35:00,ANC/YHM/2024-09-14 10:20:00,ANC/YHM/2024-09-14 10:20:00/K4297
PO987,ANC,CVG,77X,Sat,,77350,645,5,2024-09-14 11:00:00,2024-09-14 17:15:00,ANC/CVG/2024-09-14 11:00:00,ANC/CVG/2024-09-14 11:00:00/PO987
PO228,ANC,CVG,74N,Sun,,102300,853,6,2024-09-15 09:05:00,2024-09-15 15:20:00,ANC/CVG/2024-09-15 09:05:00,ANC/CVG/2024-09-15 09:05:00/PO228
K4676,ANC,HKG,74Y,Sun,,87050,725,6,2024-09-15 12:30:00,2024-09-15 23:30:00,ANC/HKG/2024-09-15 12:30:00,ANC/HKG/2024-09-15 12:30:00/K4676
K4627,ANC,MIA,74Y,Sun,,87050,725,6,2024-09-15 15:10:00,2024-09-15 23:00:00,ANC/MIA/2024-09-15 15:10:00,ANC/MIA/2024-09-15 15:10:00/K4627
K4813,ANC,DFW,74Y,Sun,,87050,725,6,2024-09-15 10:10:00,2024-09-15 16:10:00,ANC/DFW/2024-09-15 10:10:00,ANC/DFW/2024-09-15 10:10:00/K4813
K4619,ANC,ATL,74Y,Sun,,87050,725,6,2024-09-15 12:15:00,2024-09-15 19:05:00,ANC/ATL/2024-09-15 12:15:00,ANC/ATL/2024-09-15 12:15:00/K4619
3S594,ANC,CVG,77X,Sun,,77350,645,6,2024-09-15 09:30:00,2024-09-15 15:40:00,ANC/CVG/2024-09-15 09:30:00,ANC/CVG/2024-09-15 09:30:00/3S594
K4229,ANC,JFK,77X,Sun,,77350,645,6,2024-09-15 11:15:00,2024-09-15 18:10:00,ANC/JFK/2024-09-15 11:15:00,ANC/JFK/2024-09-15 11:15:00/K4229
K4295,ANC,YHM,77X,Sun,,77350,645,6,2024-09-15 08:05:00,2024-09-15 14:20:00,ANC/YHM/2024-09-15 08:05:00,ANC/YHM/2024-09-15 08:05:00/K4295
PO958,ANC,ICN,77X,Sun,,77350,645,6,2024-09-15 04:20:00,2024-09-15 14:20:00,ANC/ICN/2024-09-15 04:20:00,ANC/ICN/2024-09-15 04:20:00/PO958
3S587,ANC,JFK,77X,Sun,,77350,645,6,2024-09-15 09:05:00,2024-09-15 15:55:00,ANC/JFK/2024-09-15 09:05:00,ANC/JFK/2024-09-15 09:05:00/3S587
3S529,ANC,CVG,77X,Sun,,77350,645,6,2024-09-15 08:00:00,2024-09-15 14:10:00,ANC/CVG/2024-09-15 08:00:00,ANC/CVG/2024-09-15 08:00:00/3S529
QY6788,ARN,LHR,ABY,Sat,,46000,386,5,2024-09-14 17:05:00,2024-09-14 19:40:00,ARN/LHR/2024-09-14 17:05:00,ARN/LHR/2024-09-14 17:05:00/QY6788
ES425,ASM,NBO,76V,Tue,,47650,442,1,2024-09-10 07:55:00,2024-09-10 11:10:00,ASM/NBO/2024-09-10 07:55:00,ASM/NBO/2024-09-10 07:55:00/ES425
K4674,ATL,ANC,74Y,Mon,,87050,725,0,2024-09-09 00:30:00,2024-09-09 08:30:00,ATL/ANC/2024-09-09 00:30:00,ATL/ANC/2024-09-09 00:30:00/K4674
GB850,ATL,CVG,76Y,Mon,,47650,442,0,2024-09-09 05:50:00,2024-09-09 07:20:00,ATL/CVG/2024-09-09 05:50:00,ATL/CVG/2024-09-09 05:50:00/GB850
3S457,ATL,FRA,77X,Mon,,77350,645,0,2024-09-09 02:55:00,2024-09-09 11:30:00,ATL/FRA/2024-09-09 02:55:00,ATL/FRA/2024-09-09 02:55:00/3S457
GB110,ATL,CVG,76Y,Tue,,47650,442,1,2024-09-10 05:30:00,2024-09-10 07:00:00,ATL/CVG/2024-09-10 05:30:00,ATL/CVG/2024-09-10 05:30:00/GB110
3S459,ATL,FRA,77X,Tue,,77350,645,1,2024-09-10 02:25:00,2024-09-10 11:00:00,ATL/FRA/2024-09-10 02:25:00,ATL/FRA/2024-09-10 02:25:00/3S459
K4676,ATL,ANC,74Y,Wed,1.0,87050,725,2,2024-09-11 23:30:00,2024-09-12 07:30:00,ATL/ANC/2024-09-11 23:30:00,ATL/ANC/2024-09-11 23:30:00/K4676
K49674,ATL,KWI,74Y,Wed,,87050,725,2,2024-09-11 00:10:00,2024-09-11 09:30:00,ATL/KWI/2024-09-11 00:10:00,ATL/KWI/2024-09-11 00:10:00/K49674
GB110,ATL,CVG,76Y,Wed,,47650,442,2,2024-09-11 05:30:00,2024-09-11 07:00:00,ATL/CVG/2024-09-11 05:30:00,ATL/CVG/2024-09-11 05:30:00/GB110
K4674,ATL,ANC,74Y,Thu,1.0,87050,725,3,2024-09-12 23:30:00,2024-09-13 07:30:00,ATL/ANC/2024-09-12 23:30:00,ATL/ANC/2024-09-12 23:30:00/K4674
GB110,ATL,CVG,76Y,Thu,,47650,442,3,2024-09-12 05:30:00,2024-09-12 07:00:00,ATL/CVG/2024-09-12 05:30:00,ATL/CVG/2024-09-12 05:30:00/GB110
3S457,ATL,FRA,77X,Thu,,77350,645,3,2024-09-12 03:00:00,2024-09-12 11:35:00,ATL/FRA/2024-09-12 03:00:00,ATL/FRA/2024-09-12 03:00:00/3S457
GB110,ATL,CVG,76Y,Fri,,47650,442,4,2024-09-13 05:30:00,2024-09-13 07:00:00,ATL/CVG/2024-09-13 05:30:00,ATL/CVG/2024-09-13 05:30:00/GB110
GB110,ATL,CVG,76Y,Sat,,47650,442,5,2024-09-14 05:30:00,2024-09-14 07:00:00,ATL/CVG/2024-09-14 05:30:00,ATL/CVG/2024-09-14 05:30:00/GB110
3S457,ATL,FRA,77X,Sat,,77350,645,5,2024-09-14 04:05:00,2024-09-14 12:40:00,ATL/FRA/2024-09-14 04:05:00,ATL/FRA/2024-09-14 04:05:00/3S457
K4676,ATL,ANC,74Y,Sun,,87050,725,6,2024-09-15 02:30:00,2024-09-15 10:30:00,ATL/ANC/2024-09-15 02:30:00,ATL/ANC/2024-09-15 02:30:00/K4676
K4628,ATL,ANC,74Y,Sun,1.0,87050,725,6,2024-09-15 23:15:00,2024-09-16 07:15:00,ATL/ANC/2024-09-15 23:15:00,ATL/ANC/2024-09-15 23:15:00/K4628
3S459,ATL,FRA,77X,Sun,,77350,645,6,2024-09-15 03:30:00,2024-09-15 12:05:00,ATL/FRA/2024-09-15 03:30:00,ATL/FRA/2024-09-15 03:30:00/3S459
QY752,BAH,MXP,33X,Mon,,51200,427,0,2024-09-09 13:35:00,2024-09-09 20:05:00,BAH/MXP/2024-09-09 13:35:00,BAH/MXP/2024-09-09 13:35:00/QY752
D042,BAH,SZX,76V,Mon,,47650,442,0,2024-09-09 10:25:00,2024-09-09 18:30:00,BAH/SZX/2024-09-09 10:25:00,BAH/SZX/2024-09-09 10:25:00/D042
ES263,BAH,DXB,76V,Mon,,47650,442,0,2024-09-09 15:35:00,2024-09-09 17:00:00,BAH/DXB/2024-09-09 15:35:00,BAH/DXB/2024-09-09 15:35:00/ES263
ES781,BAH,SIN,76V,Mon,,47650,442,0,2024-09-09 12:25:00,2024-09-09 20:40:00,BAH/SIN/2024-09-09 12:25:00,BAH/SIN/2024-09-09 12:25:00/ES781
D078,BAH,WUX,76V,Mon,,47650,442,0,2024-09-09 10:20:00,2024-09-09 18:50:00,BAH/WUX/2024-09-09 10:20:00,BAH/WUX/2024-09-09 10:20:00/D078
ES725,BAH,HKG,76V,Mon,,47650,442,0,2024-09-09 11:35:00,2024-09-09 19:40:00,BAH/HKG/2024-09-09 11:35:00,BAH/HKG/2024-09-09 11:35:00/ES725
ES265,BAH,DXB,76V,Mon,,47650,442,0,2024-09-09 22:25:00,2024-09-09 23:50:00,BAH/DXB/2024-09-09 22:25:00,BAH/DXB/2024-09-09 22:25:00/ES265
ES779,BAH,HKG,76V,Mon,,47650,442,0,2024-09-09 10:50:00,2024-09-09 18:55:00,BAH/HKG/2024-09-09 10:50:00,BAH/HKG/2024-09-09 10:50:00/ES779
